SYSTEM TIME,A,B,step,caption
0.0,80.0,10.0,,Set concentration
0.006400000000000002,78.592,11.408000000000001,1,1st reaction step
0.009600000000000003,77.910528,12.089472,2,
0.013440000000000004,77.1058458624,12.894154137600001,3,
0.018048000000000005,76.15876717373031,13.841232826269698,4,
0.023577600000000004,75.04845757891101,14.951542421088993,5,
0.029107200000000007,73.96884582376929,16.031154176230725,6,
0.03463680000000001,72.91908317443371,17.080916825566298,7,
0.04016640000000001,71.89834436282696,18.101655637173042,8,
0.045696000000000014,70.90582693788352,19.094173062116482,9,
0.05233152000000001,69.7477353740692,20.252264625930806,10,
0.05896704000000001,68.62806650892247,21.371933491077524,11,
0.06560256000000002,67.54554556951605,22.45445443048395,12,
0.07223808000000002,66.49894007682887,23.501059923171127,13,
0.07887360000000003,65.48705844253587,24.512941557464124,14,
0.08550912000000004,64.50874861235279,25.491251387647203,15,
0.09347174400000004,63.373726382799354,26.62627361720064,16,
0.10143436800000004,62.2838929294738,27.716107070526196,17,
0.10939699200000004,61.237449146205506,28.762550853794487,18,
0.11735961600000004,60.23266755485373,29.767332445146263,19,
0.12532224000000003,59.26788945357223,30.732110546427762,20,
0.13487738880000003,58.15624872361806,31.84375127638193,21,
0.14443253760000002,57.09771745659816,32.90228254340183,22,
0.15398768640000002,56.0897583084074,33.910241691592596,23,
0.16354283520000001,55.12995515844305,34.87004484155694,24,
0.17500901376000003,54.033217749985546,35.96678225001445,25,
0.18647519232000004,52.999357276322066,37.00064272367793,26,
0.19794137088000005,52.02476894664434,37.97523105335565,27,
0.21170078515200005,50.92231177389454,39.07768822610545,28,
0.22546019942400006,49.89570042592975,40.10429957407024,1,1st reaction step
0.23921961369600006,48.93971693212988,41.06028306787011,2,
0.25573091082240007,47.871459377140354,42.12854062285964,3,
0.27224220794880005,46.89139341164059,43.1086065883594,4,
0.29205576450048004,45.81240721519991,44.18759278480008,5,
0.31186932105216003,44.84031378886753,45.15968621113246,6,
0.335645588914176,43.78936544572559,46.2106345542744,7,
0.359421856776192,42.863355249162076,47.13664475083792,8,
0.38795337821061116,41.88424541214457,48.11575458785542,9,
0.42219120393191417,40.87692656753266,49.123073432467336,10,
0.4564290296532172,40.042049758158775,49.95795024184122,11,
0.4975144205187808,39.21170378709872,50.78829621290127,12,
0.5468168895574572,38.41997915447455,51.580020845525446,13,
0.6059798524038689,37.704113470448206,52.29588652955179,14,
0.6769754078195629,37.099191058819024,52.90080894118097,15,
0.7621700743183957,36.630964980446095,53.3690350195539,16,
0.8644036741169949,36.30843587395681,53.69156412604318,17,
0.9870839938753141,36.11924081574702,53.88075918425297,18,
1.1343003775852971,36.031469807322495,53.9685301926775,19,
